193.221.192.199,27015,cp_orange_x3_fix,1,2025-04-05-09:40:06,US,1
91.216.250.30,27015,trade_plaza4_portal4,6,2025-04-05-09:40:07,US,1
91.216.250.10,27015,ctf_2fort,57,2025-04-05-09:40:07,US,1
91.216.250.13,27015,dr_lazytown_xmas,32,2025-04-05-09:40:07,US,1
91.216.250.17,27015,plr_hightower,18,2025-04-05-09:40:08,US,1
91.216.250.16,27015,ctf_turbine,60,2025-04-05-09:40:08,US,1
91.216.250.18,27015,koth_harvest_final,22,2025-04-05-09:40:08,US,1
193.221.192.201,27015,idle_trade_awesomebox_v1h,1,2025-04-05-09:40:08,US,1
108.181.244.75,38400,cp_snakewater_final1,1,2025-04-05-09:40:09,US,1
91.216.250.33,27015,cp_dustbowl,7,2025-04-05-09:40:09,US,1
108.181.244.75,35700,arena_sawmill,1,2025-04-05-09:40:10,US,1
193.38.251.6,27015,ctf_turbine,2,2025-04-05-09:40:10,US,1
108.181.244.75,37400,cp_gravelpit,2,2025-04-05-09:40:11,US,1
193.221.192.198,27015,plr_highertower,7,2025-04-05-09:40:11,US,1
193.221.192.196,27015,trade_plaza_2,3,2025-04-05-09:40:11,US,1
172.240.67.28,27015,pkmn_goldenrodcity_b3,7,2025-04-05-09:40:12,US,1
107.128.78.66,27018,ctf_turbine,4,2025-04-05-09:40:12,US,1
149.28.71.4,27015,achievement_engineer_day_fix3,3,2025-04-05-09:40:13,US,1
193.221.192.116,27015,ctf_2fort,11,2025-04-05-09:40:13,US,1
193.221.192.114,27015,idle_sniper_war_v7,1,2025-04-05-09:40:13,US,1
193.221.192.117,27015,mge_training_v8_beta4b,9,2025-04-05-09:40:14,US,1
66.150.155.18,27015,idle_cy4g_pokefarmz,1,2025-04-05-09:40:14,US,1
162.248.93.23,27015,jump_sitood,1,2025-04-05-09:40:15,US,1
104.153.109.130,27015,jump_aurora_v2,1,2025-04-05-09:40:15,US,1
104.153.109.128,27015,jump_academy2_rc9a,8,2025-04-05-09:40:16,US,1
104.153.109.119,27015,jump_aviator,1,2025-04-05-09:40:16,US,1
104.153.109.129,27015,jump_academy2_rc9a,3,2025-04-05-09:40:17,US,1
5.188.238.192,27015,koth_harvest_final,1,2025-04-05-09:40:18,BR,1
131.196.196.197,27610,ctf_turbine,1,2025-04-05-09:40:18,BR,1
45.235.99.105,27042,ctf_turbine_pro_rc4,11,2025-04-05-09:40:19,AR,1
45.235.99.105,27032,slender_decay_b5c,1,2025-04-05-09:40:20,AR,1
135.181.4.51,27045,jump_tapdance_fix3,1,2025-04-05-09:40:20,FI,1
82.202.249.72,27515,tfdb_beandevil_a3,1,2025-04-05-09:40:20,RU,1
185.108.208.106,28137,jump_academy2_rc7,2,2025-04-05-09:40:21,RU,1
185.243.215.51,27015,jump_dang,1,2025-04-05-09:40:21,SE,1
172.232.147.231,27050,cp_dustbowl_destructible_v2,2,2025-04-05-09:40:21,SE,1
194.147.90.52,27015,ach_aon_v7,1,2025-04-05-09:40:22,RU,1
37.230.210.31,27015,ctf_2fort,19,2025-04-05-09:40:22,RU,1
158.255.2.173,27015,ctf_2fort,26,2025-04-05-09:40:22,RU,1
194.147.90.65,27015,br_fork_v8,1,2025-04-05-09:40:22,RU,1
193.221.192.50,27015,cp_dustbowl,1,2025-04-05-09:40:23,RU,1
37.230.210.31,27016,ctf_doublecross,25,2025-04-05-09:40:23,RU,1
141.105.71.218,27015,achievement_engineer_day_fix3,14,2025-04-05-09:40:23,RU,1
46.174.52.17,27256,achievement_apg_r16c,14,2025-04-05-09:40:24,RU,1
193.221.192.49,27015,ctf_snowfort_2023,7,2025-04-05-09:40:24,RU,1
46.174.52.103,27015,cp_dustbowl,5,2025-04-05-09:40:24,RU,1
93.157.234.37,27015,achievement_idle_botbox_b1,14,2025-04-05-09:40:25,RU,1
46.174.52.103,27017,dr_running_v5,2,2025-04-05-09:40:25,RU,1
